country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","03-04-2025 20:00:00",17.72,83.3,NH3,1,4,2
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","03-04-2025 20:00:00",17.72,83.3,OZONE,9,13,10
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","03-04-2025 20:00:00",27.103358,93.679645,SO2,6,7,7
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","03-04-2025 20:00:00",26.071318,91.87488,PM10,63,350,173
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","03-04-2025 20:00:00",26.071318,91.87488,OZONE,22,88,56
India,Assam,Guwahati,"IITG, Guwahati - PCBA","03-04-2025 20:00:00",26.2028636,91.70046436,NO2,NA,NA,NA
India,Assam,Guwahati,"IITG, Guwahati - PCBA","03-04-2025 20:00:00",26.2028636,91.70046436,NH3,NA,NA,NA
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","03-04-2025 20:00:00",16.5150833,80.5181667,CO,6,44,23
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","03-04-2025 20:00:00",14.675886,77.593027,PM2.5,56,73,64
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","03-04-2025 20:00:00",14.675886,77.593027,SO2,7,11,10
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","03-04-2025 20:00:00",13.204880,79.097889,NH3,3,4,3
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","03-04-2025 20:00:00",13.204880,79.097889,OZONE,30,42,33
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","03-04-2025 20:00:00",14.465052,78.824187,PM2.5,50,70,58
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","03-04-2025 20:00:00",14.465052,78.824187,PM10,46,65,54
India,Assam,Guwahati,"IITG, Guwahati - PCBA","03-04-2025 20:00:00",26.2028636,91.70046436,SO2,NA,NA,NA
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","03-04-2025 20:00:00",26.187500,91.744194,PM2.5,86,312,169
